"user_id","count","per_week_retention"
11768.0,1,0
11770.0,1,0
11775.0,2,1
11778.0,3,0
11779.0,5,1
11780.0,2,1
11785.0,1,0
11787.0,3,1
11791.0,2,1
11793.0,6,1
11795.0,2,1
11798.0,6,1
11799.0,10,1
11801.0,2,1
11804.0,2,1
11806.0,1,0
11809.0,1,0
11811.0,2,1
11813.0,6,0
11816.0,3,0
11818.0,2,1
11820.0,4,1
11823.0,3,1
11824.0,7,1
11825.0,3,1
11826.0,2,1
11828.0,3,1
11829.0,3,1
11832.0,4,1
11833.0,14,1
11834.0,2,1
11838.0,2,1
11839.0,1,0
11840.0,2,1
11841.0,6,1
11842.0,6,1
11843.0,3,1
11844.0,6,1
11849.0,3,1
11850.0,3,0
11852.0,5,1
11854.0,3,1
11858.0,6,1
11859.0,4,1
11863.0,6,1
11864.0,2,1
11865.0,3,1
11868.0,9,1
11872.0,2,1
11874.0,2,1
11875.0,2,1
11876.0,2,1
11877.0,8,1
11879.0,2,1
11881.0,6,1
11882.0,2,1
11884.0,1,0
11887.0,2,1
11888.0,5,0
11889.0,2,1
11893.0,14,1
11894.0,1,0
11895.0,3,1
11896.0,2,1
11898.0,1,0
11899.0,4,1
11900.0,6,1
11901.0,4,1
11906.0,11,1
11908.0,3,1
11909.0,7,1
11914.0,6,1
11919.0,3,1
11920.0,2,1
11924.0,1,0
11926.0,9,1
11928.0,7,0
11929.0,1,0
11931.0,7,1
11933.0,7,1
11936.0,4,1
